Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%),avg_watch_seconds,durasi_detik,published_at,like_rate,comment_rate,share_rate,dislike_ratio,engagement_rate,watch_time_ratio,revenue_per_view,subscriber_net,subscriber_net_per_view,ctr,impression_to_view_rate,upload_hour,upload_day,upload_day_name,upload_month,upload_year,video_age_days,duration_bucket,title_length,title_words,sensational_count,has_symbol,caps_ratio,topic_cluster,topic_score,entity_count,avg_watch_minutes,perf_score,performance_class
JHIHqu2l7Sk,"GEMPAR‼ LONDON INGGRIS MELEDAK DEMO BESAR SETELAH NEPAL & PERANCIS, IKUTI JEJAK RAKYAT INDONESIA","Sep 15, 2025",660.0,16907.0,0:04:08,37.64,0.0,0.0,28.0,9.0,315.0,2.0,99.37,17.0,43.0,0.0,0.0,1044.5,61279.939,0.0,61279.939,111418.002,13418.0,10098.613,8303.622,11033.0,3686.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,8.4359,0.2106,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16907.0,1166.6067,19.0,62324.44,105654.0,13.6,248.0,660.0,2025-09-15,0.018631336132962677,0.0025433252498964927,0.0010055006801916366,0.006309148264984227,0.022180162063050807,0.37575757575757573,3.686309812503697,19.0,0.001123794877861241,0.136,0.16002233706248697,0,0,Monday,9,2025,213,panjang (7-15 mnt),96,14,1,1,1.0,lainnya,0,0,4.133333333333334,69882.26666666668,sedang
iUld6s9mxAs,"MALAYSIA PROVOKATOR! MELAYU SUMATERA & ACEH NGAMUK, SEBUT GAM HANYA AIB & BENALU!","Dec 24, 2025",587.0,16848.0,0:04:30,46.09,0.0,0.0,19.0,5.0,281.0,4.0,98.6,31.0,220.0,0.0,0.0,691.823,55664.511,0.0,55664.511,101208.195,14415.0,8422.786,7021.033,12016.0,3344.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,6.1668,0.1961,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,3.91,7270.0,16848.0,1266.1656,14.0,56356.335,147512.0,9.9,270.0,587.0,2025-12-24,0.016678537511870845,0.013057929724596391,0.0018399810066476734,0.014035087719298246,0.03157644824311491,0.4599659284497445,3.3449866452991452,14.0,0.0008309591642924976,0.099,0.11421443679158305,0,2,Wednesday,12,2025,113,panjang (7-15 mnt),81,13,1,0,1.0,malaysia,2,2,4.5,75816.0,sedang
uTPrD-MqFbE,AMERIKA & THAILAND KAGUM‼ MARINIR INDONESIA PAMER ROCKET MLRS VAMPIRE BIKIN MALAYSIA MINDER,"Sep 1, 2025",630.0,16844.0,0:03:28,33.07,0.0,0.0,17.0,1.0,191.0,2.0,98.96,6.0,21.0,0.0,0.0,562.897,49567.874,0.0,49567.874,90123.346,11132.0,9204.713,8095.881,9791.0,2976.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4.172,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.68,2385.0,16844.0,974.7825,16.0,50130.771,83627.0,15.24,208.0,630.0,2025-09-01,0.01133934932320114,0.0012467347423414867,0.0003562099263832819,0.010362694300518135,0.012942293991925908,0.33015873015873015,2.9761797079078605,16.0,0.000949893137022085,0.1524,0.20141820225525248,0,0,Monday,9,2025,227,panjang (7-15 mnt),91,13,0,1,1.0,malaysia,1,2,3.466666666666667,58392.53333333333,sedang
ILQ2GMi4syI,"MASUK TV JEPANG‼ TNI GERAM BANTUAN RI DIKLAIM TETANGGA, 5 KAPAL PERANG DIKERAHKAN","Dec 7, 2025",136.0,16711.0,0:01:32,67.72,0.0,0.0,18.0,1.0,315.0,21.0,93.75,6.0,51.0,0.0,0.0,77.606,0.0,0.0,0.0,,,,,,298.616,0.0,14.0,6215.0,0.0,0.0,0.0,0.0,0.0,148.0,2.4525,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,26798.0,429.3486,17.0,4990.304,19262.0,7.7,92.0,136.0,2025-12-07,0.01175460855287708,0.0019031270990372416,0.00022389730576908724,0.0625,0.01388163295768341,0.6764705882352942,0.1862192700947832,17.0,0.0006343756996790806,0.077,1.3912366317101028,0,6,Sunday,12,2025,130,pendek (1-3 mnt),81,13,1,1,1.0,militer_tni,2,3,1.5333333333333334,41090.26666666667,sedang
w1Wsy1ozwzM,JENDERAL BINTANG 4 AS AKUI CUMA PRABOWO & RAJA YORDANIA PUNYA KEMAMPUAN TEMPUR PALING MEMATIKAN,"Nov 19, 2025",518.0,16692.0,0:03:58,46.06,0.0,0.0,13.0,8.0,385.0,3.0,99.23,10.0,71.0,0.0,0.0,939.447,70896.99,0.0,70896.99,128903.726,14491.0,10259.768,8895.433,12564.0,4303.642,0.0,10.0,208.0,0.0,0.0,0.0,0.0,0.0,101.0,6.4874,0.1772,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16692.0,1106.2196,5.0,71836.437,68755.0,21.08,238.0,518.0,2025-11-19,0.023064941289240356,0.004253534627366403,0.0005990893841361131,0.007731958762886598,0.02791756530074287,0.4594594594594595,4.303644680086269,5.0,0.00029954469206805657,0.2108,0.24277507090393427,0,2,Wednesday,11,2025,148,panjang (7-15 mnt),95,15,0,0,1.0,diplomasi,1,2,3.966666666666667,66211.6,sedang
241py4JltuQ,"INDONESIA BIKIN GEMPAR DUNIA‼️BAHASA INDONESIA RESMI DIPAKAI DI SIDANG UMUM PBB, MALAYSIA KEPANASAN","Oct 20, 2025",609.0,16678.0,0:04:23,43.31,0.0,0.0,32.0,4.0,418.0,1.0,99.76,36.0,196.0,0.0,0.0,1201.218,74927.488,0.0,74927.488,136231.979,17571.0,9502.126,7753.229,14337.0,4564.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,9.7334,0.2079,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16678.0,1222.0245,28.0,76128.706,132051.0,10.67,263.0,609.0,2025-10-20,0.025062957189111404,0.011752008634128792,0.0021585321981052886,0.002386634844868735,0.03897349802134548,0.4318555008210181,4.564618419474757,28.0,0.0016788583763041132,0.1067,0.12629968724205043,0,0,Monday,10,2025,178,panjang (7-15 mnt),99,13,1,1,1.0,diplomasi,2,4,4.383333333333334,73105.23333333334,sedang
HGhn3_OSL4Q,"INDONESIA TAMPIL PERKASA KIRIM 20 RIBU PASUKAN, MALAYSIA CUMA 1 BATALYON, BIKIN GELENG KEPALA","Oct 22, 2025",570.0,16547.0,0:03:45,39.5,0.0,0.0,19.0,5.0,272.0,7.0,97.49,5.0,99.0,0.0,0.0,733.282,48835.994,0.0,48835.994,88792.836,12026.0,8518.116,7383.406,10424.0,2995.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,5.4679,0.1997,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16547.0,1034.8415,14.0,49569.276,137429.0,10.23,225.0,570.0,2025-10-22,0.016438025019641023,0.0059829576358252255,0.00030216957756693056,0.025089605734767026,0.02272315223303318,0.39473684210526316,2.995665437843718,14.0,0.0008460748171874056,0.1023,0.12040399042414629,0,2,Wednesday,10,2025,176,panjang (7-15 mnt),93,14,0,0,1.0,malaysia,1,2,3.75,62051.25,sedang
E7SI8fiBm-s,KARMA HINA TKI‼ BANGLA NGAMUK DAN RICUH DI MALAYSIA WARGA JIRAN INGINKAN MEREKA BALIK KE NEGARANYA⁉,"Jul 2, 2025",661.0,16350.0,0:03:52,35.11,0.0,0.0,20.0,0.0,67.0,2.0,97.1,5.0,81.0,0.0,0.0,1002.076,48186.331,0.0,48186.331,87611.14,12837.0,8066.581,6824.892,10861.0,3008.448,0.0,28.0,300.0,0.0,0.0,0.0,0.0,0.0,130.0,9.0988,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.6,3823.0,16350.0,1054.1513,20.0,49188.407,105858.0,13.38,232.0,661.0,2025-07-02,0.0040978593272171255,0.004954128440366972,0.0003058103975535168,0.028985507246376812,0.009357798165137614,0.35098335854765506,3.0084652599388377,20.0,0.0012232415902140672,0.1338,0.15445219067052088,0,2,Wednesday,7,2025,288,panjang (7-15 mnt),99,16,1,1,1.0,malaysia,2,2,3.8666666666666667,63220.0,sedang
qRTGKx7vhTc,AMERIKA PANIK PASUKAN PERANGNYA DI PAKSA MUNDUR RUSIA KIRIM SENJATA PALING MEMATIKAN DI BANTU CHINA‼,"Sep 6, 2025",540.0,16247.0,0:03:08,34.91,0.0,0.0,37.0,2.0,170.0,3.0,98.27,13.0,13.0,0.0,1.0,2577.662,54333.09,0.0,54333.09,100551.287,11816.0,9773.648,8509.757,10288.0,3787.169,0.0,12.0,177.0,85547.31,1.0,4565.584,4619.555,0.0,312.0,18.6734,0.1912,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16247.0,850.8521,35.0,61530.306,93858.0,14.09,188.0,540.0,2025-09-06,0.01046347017910999,0.0008001477195789992,0.0008001477195789992,0.017341040462427744,0.012063765618267988,0.34814814814814815,3.7871795408383084,35.0,0.002154243860404998,0.1409,0.17310191992158366,0,5,Saturday,9,2025,222,panjang (7-15 mnt),100,15,2,1,1.0,amerika_barat,2,4,3.1333333333333333,50907.26666666666,sedang
iilq8XgRDCI,TERKUAK GEJOLAK NEGERI KASINO‼️MALAYSIA HANCUR SAAT “MACAN TIDUR” INDONESIA KUASAI NEGERI JIRAN‼️,"Oct 26, 2025",673.0,16217.0,0:04:28,39.9,0.0,0.0,12.0,1.0,312.0,4.0,98.73,11.0,119.0,0.0,0.0,1362.514,67448.881,0.0,67448.881,122634.275,14717.0,10856.434,8332.831,11296.0,4243.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,9.7864,0.2245,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16217.0,1209.6852,11.0,68811.395,110693.0,12.2,268.0,673.0,2025-10-26,0.019239070111611273,0.007337978664364556,0.0006783005488068077,0.012658227848101266,0.027255349324782636,0.39821693907875183,4.243164272060184,11.0,0.0006783005488068077,0.122,0.14650429566458584,0,6,Sunday,10,2025,172,panjang (7-15 mnt),97,12,1,1,1.0,malaysia,2,3,4.466666666666667,72435.93333333333,sedang
