Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Tetap menonton (%),Penonton unik,Penayangan rata-rata per penonton,Penonton baru,Penonton yang kembali,Penonton biasa,Penonton reguler,Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,Pendapatan per transaksi (IDR),YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Waktu tonton playlist (jam),Penayangan dari playlist,Tayangan per playlist dimulai,Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Jumlah remix,Penayangan remix,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Klik per kartu yang ditampilkan (%),Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik teaser per teaser kartu yang ditampilkan (%),Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%)
9BwTQNsY_hk,DARURAT MILITER ACEH! PRABOWO SERUKAN GANYANG MALAYSIA & TUMPAS HABIS PROVOKATOR!,"Dec 23, 2025",570.0,49210.0,0:04:10,44.03,,,,,,,,0.0,0.0,39.0,12.0,558.0,32.0,94.58,68.0,1017.0,0.0,0.0,,1968.785,185713.966,0.0,185713.966,337661.939,42561.0,9265.736,7933.6,36442.0,3813.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,16.2241,0.3278,3.0,1.0,0.1916,13.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,610.0,3.35,18213.0,49210.0,3430.3666,27.0,187682.751,262633.0,16.91
O7OLD2msmjg,KRISIS PANGAN! INDONESIA PILUH AFRIKA DARIPADA MALAYSIA NEGARA YANG MERASA LEBIH UNGGUL!!,"May 26, 2025",840.0,49072.0,0:04:12,30.05,,,,,,,,0.0,0.0,95.0,8.0,680.0,11.0,98.41,40.0,401.0,0.0,0.0,,4987.016,159334.889,0.0,159334.889,289701.005,36576.0,9121.281,7920.522,31761.0,3348.589,0.0,30.0,4264.0,0.0,0.0,0.0,0.0,0.0,415.0,39.3232,,,,0.2733,56.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,240.0,2.69,8913.0,49072.0,3440.9676,87.0,164321.905,350530.0,12.58
Rc_3u1W0h6E,JIRAN MALU BESAR !! KOTA DI MALAYSIA DINOBATKAN SEBAGAI YANG PALING JOROK DI ASIA,"Oct 19, 2025",534.0,48767.0,0:03:15,36.61,,,,,,,,6.0,540.0,57.0,13.0,720.0,14.0,98.09,46.0,492.0,0.0,0.0,,4491.123,142842.895,0.0,142842.895,259714.598,35009.0,8810.455,7418.509,29478.0,3021.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,31.3558,,,,0.1828,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,48767.0,2648.1743,44.0,147334.018,245662.0,16.51
BWV7bYkscXw,RUGIKAN NEGARA RP300 TRILIUN‼ TNI TEMBAK HANCUR KAPAL PENCURI IKAN MALAYSIA,"Dec 16, 2025",600.0,48683.0,0:03:59,39.86,,,,,,,,0.0,0.0,21.0,7.0,647.0,11.0,98.33,19.0,420.0,0.0,0.0,,1886.543,172802.202,0.0,172802.202,314185.936,43127.0,8487.383,7285.133,37018.0,3588.291,0.0,40.0,700.0,0.0,0.0,0.0,0.0,0.0,241.0,16.3564,0.1158,2.0,1.0,0.1998,16.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,196.0,1.12,17474.0,48683.0,3234.3137,14.0,174688.744,234375.0,18.79
wFFECG0dTuM,"BIKIN GERAM‼ PBB AKUI AMBALAT MILIK INDONESIA UNCLOS 1982, TAPI NETIZEN MALAY AKUI 100% MILIK MALAY⁉","Jul 4, 2025",600.0,48606.0,0:03:40,36.76,,,,,,,,0.0,0.0,35.0,9.0,633.0,18.0,97.24,50.0,744.0,0.0,0.0,,2244.762,124290.691,0.0,124290.691,225968.923,30015.0,8337.106,7528.533,27104.0,2603.29,0.0,13.0,285.0,0.0,0.0,0.0,0.0,0.0,259.0,18.4838,,,,0.2008,4.0,3.0,3.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,264.0,2.44,10809.0,48606.0,2977.8377,26.0,126535.453,275507.0,14.87
yQ2HWdRtXgs,HEBOH‼ PESAWAT TUDM MALAYSIA NYUNGSEP‼ PESAWAT RONGSOKAN DIPAKSA TERBANG⁉ LIAT TUH INDONESIA‼,"Jul 2, 2025",600.0,48546.0,0:02:33,25.52,,,,,,,,0.0,0.0,34.0,6.0,381.0,14.0,96.46,10.0,288.0,0.0,0.0,,4009.251,86213.891,0.0,86213.891,156752.229,22154.0,7728.638,7075.572,20282.0,1858.507,0.0,15.0,181.0,0.0,0.0,0.0,0.0,0.0,691.0,27.6628,,,,0.2009,3.0,3.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,123.0,2.41,5096.0,48546.0,2064.6913,28.0,90223.142,276748.0,14.15
ZJw8Rr9ON6U,"MALAYSIA GEMETAR‼ TNI AL RANKING 4 TERKUAT DI DUNIA, KAPAL PERANG MALAYSIA CUMA MAINAN DI INDONESIA⁉","Jul 21, 2025",603.0,48320.0,0:03:38,36.16,,,,,,,,0.0,0.0,80.0,10.0,570.0,14.0,97.6,31.0,110.0,0.0,3.0,0.0,2650.551,133938.327,0.0,133938.327,243524.049,31935.0,8498.187,7625.616,28656.0,2933.426,0.0,41.0,732.0,95448.56,1.0,5150.786,5154.211,0.0,354.0,21.4505,,,,0.2078,102.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,243.0,2.75,8832.0,48320.0,2926.6176,70.0,141743.089,321203.0,11.85
eXZBzIt55PQ,RAKYAT THAILAND MARAH KE MALAYSIA! MENYARANKAN INDONESIA BANTU THAILAND SERANG MALAYSIA,"Nov 20, 2025",496.0,48235.0,0:03:59,48.29,,,,,,,,0.0,0.0,21.0,12.0,637.0,12.0,98.15,11.0,294.0,0.0,0.0,,1254.367,179742.008,0.0,179742.008,326803.668,42408.0,8865.117,7706.18,36864.0,3752.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,11.6803,,,,0.1709,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,48235.0,3209.3017,9.0,180996.376,245525.0,17.54
K-GPM5hZcmY,RUSIA TURUN TANGAN BANTU PERJUANGAN INDONESIA PERTAHANKAN AMBALAT‼ BUNGKAM KESOMBONGAN MALAYSIA,"Aug 1, 2025",720.0,47742.0,0:03:40,30.61,,,,,,,,0.0,0.0,63.0,14.0,574.0,16.0,97.29,20.0,378.0,0.0,1.0,0.0,1485.411,112077.677,0.0,112077.677,203775.813,31360.0,6987.717,6497.953,29162.0,2383.415,0.0,43.0,680.0,16732.649,1.0,224.849,225.888,0.0,212.0,13.2355,,,,0.2357,8.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,178.0,2.21,8042.0,47742.0,2922.7176,49.0,113788.976,296449.0,13.79
rOEQ4aQ1T0Q,"SINGAPURA NGAKU TAKJUB KEKUATAN TNI, MALAYSIA PILIH BUNGKAM KLAIM KEKUATAN TENTARA TERKUAT DUNIA‼️","Aug 6, 2025",564.0,47524.0,0:03:35,38.13,,,,,,,,0.0,0.0,48.0,8.0,498.0,10.0,98.03,9.0,125.0,0.0,1.0,0.0,2173.527,115950.271,0.0,115950.271,210818.384,24852.0,9206.043,8482.954,22900.0,2485.565,0.0,21.0,583.0,32292.182,1.0,0.0,0.0,0.0,331.0,18.9373,,,,0.1925,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,47524.0,2839.1061,40.0,118123.798,323635.0,11.71
y2FfExVSFrY,UBAH LAUT JADI MEGA PROYEK PANGAN DENGAN TEKNOLOGI SATELIT DI SELAT MAKASAR!,"Jun 3, 2025",510.0,47298.0,0:03:02,35.73,,,,,,,,0.0,0.0,105.0,12.0,591.0,3.0,99.49,135.0,61.0,0.0,0.0,,5244.866,131105.733,0.0,131105.733,238374.114,29164.0,8968.513,8173.574,26579.0,2882.8,0.0,28.0,3042.0,0.0,0.0,0.0,0.0,0.0,703.0,35.1489,,,,0.1827,34.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,282.0,2.75,10254.0,47298.0,2393.9503,93.0,136350.599,347123.0,10.16
V3f6tPQbXfs,PAPUA MELONJAK MAJU‼ TIMOR LESTE SEMAKIN TERTINGGAL JAUH TANPA DUKUNGAN AUSTRALIA,"Aug 21, 2025",600.0,47007.0,0:03:44,37.38,,,,,,,,5.0,500.0,93.0,9.0,579.0,10.0,98.3,23.0,87.0,0.0,0.0,,3204.778,139163.346,0.0,139163.346,252948.509,32163.0,9009.742,7864.581,28075.0,3028.658,0.0,48.0,803.0,0.0,0.0,0.0,0.0,0.0,349.0,24.509,,,,0.2078,26.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,204.0,1.68,12179.0,47007.0,2928.4511,84.0,142368.123,335194.0,11.93
RpzklSNH5cU,MEMANAS! SEBUT INDONESIA NEGARA TERTINGGAL! MALAYSIA AKAN DEKLARASIKAN NEGARA MAJU TAHUN 2025!,"Jun 17, 2025",576.0,46850.0,0:03:29,36.45,,,,,,,,0.0,0.0,86.0,8.0,535.0,20.0,96.4,8.0,696.0,0.0,7.0,0.0,3644.489,116337.808,0.0,116337.808,211523.376,28032.0,8496.962,7545.783,24894.0,2589.69,0.0,33.0,4227.0,78649.447,4.0,1335.843,1344.57,0.0,436.0,26.3825,,,,0.1993,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,46850.0,2732.5705,78.0,121326.866,260619.0,15.2
v1qTvyNoznU,INILAH TAKTIK BUSUK MALAYSIA DAN SINGAPURA AGAR RI TAK PUNYA INDUSTRI SEMIKONDUKTOR!,"Jun 17, 2025",588.0,46691.0,0:03:39,37.35,,,,,,,,0.0,0.0,56.0,8.0,526.0,30.0,94.6,49.0,523.0,0.0,2.0,0.0,4624.101,146356.968,0.0,146356.968,266103.819,29461.0,10111.48,9032.41,26317.0,3233.625,0.0,18.0,3558.0,44673.662,2.0,0.0,0.0,0.0,447.0,32.0449,,,,0.2008,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,46691.0,2848.3026,48.0,150981.069,240472.0,16.67
I7X6lKrkVho,MALAYSIA TERKEJUT! MANUVER SENYAP RI-RUSIA SELAMATKAN BURKINA FASO DARI JAJAHAN PRANCIS & AS!,"Dec 26, 2025",126.0,46338.0,0:01:31,72.23,86.96,,,,,,,0.0,0.0,60.0,2.0,1923.0,76.0,96.2,55.0,76.0,0.0,0.0,,156.473,0.0,0.0,0.0,,,,,,297.07,0.0,45.0,36674.0,0.0,0.0,0.0,0.0,0.0,311.0,4.4824,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,72718.0,1174.1438,58.0,13765.654,51978.0,11.14
