Konten,Judul video,Waktu publikasi video,Durasi,Penayangan tak dilewati,Rata-rata durasi tonton,Persentase penayangan rata-rata (%),Tetap menonton (%),Penonton unik,Penayangan rata-rata per penonton,Penonton baru,Penonton yang kembali,Penonton biasa,Penonton reguler,Diviralkan,Poin hype,Subscriber yang diperoleh,Subscriber yang hilang,Suka,Tidak suka,Suka (vs. tidak suka) (%),Pembagian,Komentar ditambahkan,Pendapatan transaksi (IDR),Transaksi,Pendapatan per transaksi (IDR),YouTube Premium (IDR),Iklan Halaman Tonton (IDR),Estimasi pendapatan DoubleClick (IDR),Estimasi pendapatan AdSense (IDR),Pendapatan iklan YouTube (IDR),Tayangan iklan,CPM berbasis-pemutaran (IDR),CPM (IDR),Estimasi pemutaran yang dimonetisasi,RPM (IDR),Rubi,Klik produk,Tayangan produk,Total penjualan (IDR),Pesanan,Komisi yang disetujui (IDR),Komisi tertunda (IDR),Komisi yang dihapus (IDR),Penayangan YouTube Premium,Waktu tonton YouTube Premium (jam),Waktu tonton playlist (jam),Penayangan dari playlist,Tayangan per playlist dimulai,Jam streaming,Set pengingat,Pesan chat,Reaksi,Perubahan jumlah subscriber per postingan,Jumlah remix,Penayangan remix,Penayangan klip komunitas,Waktu tonton dari klip komunitas (jam),Jumlah klik pada kartu,Klik per kartu yang ditampilkan (%),Kartu ditampilkan,Jumlah klik pada teaser kartu,Teaser kartu ditampilkan,Klik teaser per teaser kartu yang ditampilkan (%),Klik pada elemen layar akhir,Klik per elemen layar akhir yang ditampilkan (%),Elemen layar akhir yang ditampilkan,Penayangan,Waktu tonton (jam),Subscriber,Estimasi pendapatan (IDR),Tayangan,Rasio klik-tayang dari tayangan (%)
Total,,,,19920894.0,0:04:01,37.47,80.43,0.0,0.0,0.0,0.0,0.0,0.0,280.0,23980.0,39422.0,8485.0,260795.0,6042.0,97.74,24871.0,95538.0,34108.879,161.0,211.856,1537888.836,71226677.325,0.0,71226677.325,129647654.887,16426524.0,9434.596,7892.58,13741728.0,3698.829,0.0,8145.0,533792.0,12194199.263,126.0,1000721.472,544868.478,-28819.168,174483.0,11741.5066,33.7912,635.0,1.7024,125.9619,4793.0,192.0,750.0,49.0,17.0,10950.0,4.0,0.0538,6.0,1.22,493.0,40.0,11354.0,0.35,36786.0,2.09,1757819.0,20166890.0,1336489.1287,30937.0,73682866.49,126067471.0,13.08
KAqnuJ0W8Jo,NEGARA ARAB & MALAYSIA TERDIAM MELIHAT INDONESIA BERI BANTUAN KE PALESTINA TEROBOS LANGIT ISRAEL,"Aug 23, 2025",740.0,915959.0,0:04:55,39.94,,,,,,,,0.0,0.0,5516.0,138.0,13544.0,184.0,98.66,2284.0,1840.0,0.0,0.0,,137839.843,4058011.659,0.0,4058011.659,7378203.319,832574.0,11672.969,8861.919,632076.0,4580.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12034.0,1067.8984,,,,,0.0,,,0.0,3.0,1961.0,0.0,0.0,0.0,,0.0,0.0,0.0,,74.0,4.56,1622.0,915959.0,75207.6938,5378.0,4195851.502,5722428.0,11.54
a5VBaiz4yS0,"INDONESIA BIKIN ISRAEL NGAMUK‼ SAAT ARAB TAKUT DENGAN AMERIKA, TNI BERANI TEROBOS LANGIT GAZA","Aug 24, 2025",649.0,319187.0,0:03:59,36.89,,,,,,,,0.0,0.0,820.0,30.0,3033.0,43.0,98.6,287.0,435.0,0.0,0.0,,45200.91,1006901.196,0.0,1006901.196,1830729.431,209284.0,11520.833,8747.584,158906.0,3296.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932.0,357.6141,,,,,0.0,,,0.0,,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,319187.0,21226.0991,790.0,1052102.106,1487638.0,14.3
PNIbEl5676s,"MALAYSIA KENA ""CERAMAH"" WARGANYA SENDIRI: JANGAN HINA INDONESIA!","Dec 23, 2025",712.0,286864.0,0:04:56,41.59,,,,,,,,0.0,0.0,511.0,63.0,3433.0,48.0,98.62,137.0,1498.0,0.0,0.0,,21277.475,984382.816,0.0,984382.816,1789786.942,215690.0,10451.677,8297.96,171244.0,3505.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.0,162.2907,0.216,3.0,1.0,0.2311,13.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,286864.0,23598.9868,448.0,1005660.291,1520223.0,15.91
jj4tR1MXgGM,"GILA KEBERANIAN INDONESIA BIKIN NETANYAHU PANIK, 20 RIBU PASUKAN BERANGKAT KE PALESTINA","Sep 26, 2025",752.0,280836.0,0:04:26,35.43,,,,,,,,0.0,0.0,950.0,57.0,3076.0,51.0,98.37,214.0,505.0,0.0,5.0,0.0,5172.974,858249.023,0.0,858249.023,1560452.976,255225.0,7205.871,6114.029,216553.0,3100.75,0.0,357.0,5021.0,145147.324,3.0,7367.684,7379.98,0.0,709.0,53.0523,,,,0.2489,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,280836.0,20782.7624,893.0,870801.977,2217564.0,11.43
Sj1GSN-q5N8,"NETANYAHU NGAMUK‼ ANCAM PERANGI INDONESIA, MALAYSIA & PAKISTAN HINGGA BUAT DUNIA GEMPAR‼","Aug 26, 2025",900.0,272539.0,0:04:16,28.49,,,,,,,,0.0,0.0,1213.0,32.0,2448.0,222.0,91.69,1046.0,2410.0,0.0,2.0,0.0,16682.465,1177888.704,0.0,1177888.704,2141615.555,266076.0,9527.226,8048.887,224789.0,4402.054,0.0,73.0,2074.0,95555.554,1.0,6473.214,5159.996,0.0,1859.0,127.6157,,,,,0.0,,,0.0,,,4.0,0.0538,0.0,,0.0,0.0,0.0,,645.0,2.58,25029.0,272539.0,19411.1156,1181.0,1199731.166,2000654.0,11.99
f60c_M2t2zs,"HEBOH‼ MALAYSIA TANTANG PRABOWO, TAPI BALASANNYA BIKIN NEGERI JIRAN KETAR-KETIR","Oct 5, 2025",639.0,234153.0,0:04:21,40.92,,,,,,,,0.0,0.0,381.0,32.0,2044.0,45.0,97.85,63.0,678.0,0.0,0.0,,17860.968,752296.019,0.0,752296.019,1367810.935,201249.0,8143.089,6796.61,167972.0,3289.119,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1997.0,139.3929,,,,0.2162,16.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,234153.0,17007.7656,349.0,770156.987,1666190.0,12.17
9Oc_Ji8gAbc,"LAPINDO JADI LAUTAN EMAS‼ AMERIKA & EROPA NGILER LIHAT MINERAL LTJ RI MELIMPAH, DUNIA HEBOH","Sep 1, 2025",626.0,222453.0,0:03:06,29.8,,,,,,,,0.0,0.0,733.0,39.0,2348.0,33.0,98.61,1271.0,673.0,0.0,0.0,,27345.517,913675.81,0.0,913675.81,1661228.519,185814.0,10740.609,8940.276,154668.0,4230.203,0.0,134.0,2334.0,0.0,0.0,0.0,0.0,0.0,3536.0,193.9746,,,,0.2092,16.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,222453.0,11526.9909,694.0,941021.327,1352585.0,13.58
Bjxo1FSbD3Q,"GEMPAR‼ MALAYSIA PANIK‼ PRABOWO TEGAS MINTA INGGRIS HENTIKAN INTERVENSI, SINGAPURA KETAR-KETIR","Oct 4, 2025",764.0,204148.0,0:05:12,40.88,,,,,,,,0.0,0.0,383.0,53.0,2345.0,51.0,97.87,151.0,666.0,0.0,0.0,,16085.309,763141.296,0.0,763141.296,1387528.888,187315.0,9218.297,7407.463,150519.0,3816.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.0,129.4889,,,,0.251,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,204148.0,17709.1745,330.0,779226.605,1553948.0,11.4
MdQ0p1BIveY,GEMPAR‼ PRABOWO BAWA PULANG PUSAKA BANGSA SETELAH 175 TAHUN DI RAMPAS BELANDA,"Sep 30, 2025",682.0,191662.0,0:04:21,38.29,,,,,,,,24.0,2160.0,713.0,63.0,2642.0,34.0,98.73,904.0,587.0,0.0,0.0,,7055.109,616626.384,0.0,616626.384,1121139.046,163048.0,7909.159,6876.129,141752.0,3254.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,914.0,62.9788,,,,0.226,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,191662.0,13902.6661,650.0,623681.493,1872214.0,8.78
YeFiWX5TypA,"BANGGA‼ RIBUAN BUS CANGGIH RI SERBU BANGLADESH, MALAYSIA KAGET KOK BISA⁉","Nov 3, 2025",540.0,180861.0,0:03:50,42.78,,,,,,,,8.0,720.0,241.0,27.0,1725.0,36.0,97.96,66.0,218.0,0.0,0.0,,17312.199,601487.052,0.0,601487.052,1093612.6,134577.0,9493.495,8126.296,115196.0,3421.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,129.9046,,,,0.1832,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,180861.0,11604.9927,214.0,618799.251,1227363.0,12.47
zl6bTJxFX3A,MARCHINGBAND TNI GAGAH DI PRANCIS SEMENTARA JIRAN GAGAL ATRAKSI NETIZEN:KAYAK ANAK SD LAGI LATIHAN‼️,"Jul 15, 2025",626.0,172564.0,0:03:56,37.84,100.0,,,,,,,0.0,0.0,738.0,13.0,1942.0,53.0,97.34,79.0,209.0,0.0,5.0,0.0,22475.355,487713.139,0.0,487713.139,886750.556,122266.0,8791.547,7252.634,100864.0,2993.486,0.0,99.0,4984.0,118140.147,5.0,121047.724,6379.534,0.0,2721.0,180.1747,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,172564.0,11355.2571,725.0,516568.278,1429147.0,9.34
wEYqiEaaQZs,AMERIKA EROPA TERKEJUT‼ PRABOWO BERANI ANCAM SERANG TIMOR LESTE SOAL PENEMBAKAN WNI,"Aug 29, 2025",1290.0,165408.0,0:04:31,21.04,,,,,,,,0.0,0.0,740.0,31.0,1306.0,51.0,96.24,134.0,533.0,0.0,0.0,,6103.357,454668.608,0.0,454668.608,826669.912,111120.0,8384.586,7439.434,98594.0,2785.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,50.9485,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,243.0,1.77,13757.0,165408.0,12468.2642,709.0,460771.964,1262232.0,11.65
n4h9hrgi9HA,"HEBOH‼ PASAR GRATIS PERTAMA DI GAZA DIBANGUN INDONESIA, RELAWAN DUNIA BERKUMPUL BANTU RI","Oct 31, 2025",485.0,152609.0,0:03:40,45.53,,,,,,,,0.0,0.0,824.0,70.0,3426.0,31.0,99.1,526.0,362.0,0.0,0.0,,17775.52,508957.903,0.0,508957.903,925377.525,113946.0,9806.364,8121.194,94365.0,3451.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,127.6341,,,,0.1679,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,152609.0,9360.7051,754.0,526733.424,1310662.0,9.36
yEclubDsz7A,MALAYSIA GEMETAR LIHAT DETIK-DETIK AKSI SUPER TUCANO TNI RATAKAN MARKAS OPM PAPUA DI PEGUNUNGAN,"Oct 17, 2025",570.0,148619.0,0:03:52,40.77,,,,,,,,0.0,0.0,339.0,30.0,1671.0,50.0,97.09,40.0,509.0,20581.182,3.0,6860.394,5010.522,413667.858,0.0,413667.858,752123.697,120810.0,7116.992,6225.674,105680.0,2955.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,41.6805,,,,0.1995,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,148619.0,9592.9064,309.0,439259.562,1258115.0,10.78
Bcynz0O6pdo,"MALAYSIA MALU BESAR‼ INDONESIA PUNYA KAPAL INDUK BESAR GARIBALDI, MEDIA LANGSUNG SOROT INDONESIA","Sep 28, 2025",509.0,138969.0,0:03:32,41.66,,,,,,,,0.0,0.0,260.0,39.0,1708.0,25.0,98.56,74.0,381.0,0.0,0.0,,12278.589,406988.014,0.0,406988.014,739977.654,97551.0,9040.545,7585.547,81851.0,3016.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,89.1762,,,,0.1827,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,138969.0,8185.1964,221.0,419266.602,1041816.0,11.31
bvLcjt9kNZY,"GEMPAR‼ NEGARA ARAB BERBONDONG TIRU GAYA PRABOWO, SENJATA AS & ISRAEL TAK BERGUNA","Sep 17, 2025",510.0,131426.0,0:03:29,41.15,,,,,,,,0.0,0.0,230.0,30.0,1365.0,21.0,98.48,86.0,253.0,0.0,3.0,0.0,7784.052,452542.235,0.0,452542.235,822803.976,98581.0,9793.303,8346.476,84017.0,3518.633,0.0,83.0,1600.0,137304.949,3.0,2113.334,2113.626,0.0,982.0,57.0875,,,,0.1897,10.0,0.0,12.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,131426.0,7661.8201,200.0,462439.913,817318.0,14.13
xVlX24u2d48,"MERINDING‼ BULE TURUN GUNUNG KOMENTARI DEMO INDONESIA, NEGARA BARAT PANIK","Sep 4, 2025",694.0,124596.0,0:04:48,41.61,,,,,,,,0.0,0.0,399.0,35.0,1718.0,20.0,98.85,146.0,232.0,0.0,0.0,,11183.806,400480.427,0.0,400480.427,728146.465,101157.0,8755.97,7198.182,83160.0,3303.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,89.5536,,,,0.2337,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,124596.0,9993.3073,364.0,411664.233,1076820.0,9.76
i38e4fQqUVs,HEBOH! DPR MALAYSIA BAWA-BAWA PANCASILA! GEGER KONSEP PANCASILA DI AKUI HEBAT!,"Jun 20, 2025",675.0,120633.0,0:04:20,38.55,,,,,,,,0.0,0.0,221.0,8.0,660.0,29.0,95.79,61.0,236.0,0.0,1.0,0.0,17554.402,364473.348,0.0,364473.348,662678.954,94494.0,8278.416,7012.921,80049.0,3169.069,0.0,115.0,1855.0,4937.71,1.0,4656.887,266.636,0.0,1812.0,126.4454,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,391.0,1.46,26780.0,120633.0,8719.6582,213.0,382294.386,800528.0,12.29
KedXn4xuVSk,"MEMANAS‼ DPR MALAYSIA DESAK AGAR TKI INDONESIA KEMBALI, JIRAN PANIK KEKURANGAN TENAGA","Oct 2, 2025",715.0,119810.0,0:04:28,37.54,,,,,,,,0.0,0.0,195.0,23.0,1272.0,35.0,97.32,102.0,1383.0,0.0,0.0,,16728.091,432940.775,0.0,432940.775,787165.067,100151.0,9803.291,7859.782,80296.0,3753.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.0,121.4486,,,,0.2316,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,119810.0,8933.5964,172.0,449668.866,924584.0,10.78
FYCWCjDdTII,DPR MALAYSIA NAIK PITAM! SIAP NYATAKAN PERANG GARA-GARA INI! LIHAT TUH INDONESIA,"Jun 23, 2025",552.0,118920.0,0:03:06,33.77,,,,,,,,0.0,0.0,102.0,9.0,316.0,29.0,91.59,27.0,570.0,0.0,0.0,,10727.886,323457.58,0.0,323457.58,588104.127,76879.0,9216.777,7649.737,63808.0,2810.169,0.0,27.0,824.0,0.0,0.0,0.0,0.0,0.0,1424.0,78.4564,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,118920.0,6158.0812,93.0,334185.466,425196.0,22.73
1lFX6oQbHYQ,BEGINI BEDANYA‼ LEBIH ENAK MANA⁉ KETURUNAN INDIA MALAYSIA ATAU KETURUNAN INDIA INDONESIA,"Nov 7, 2025",600.0,118736.0,0:03:31,35.32,,,,,,,,3.0,240.0,62.0,5.0,515.0,13.0,97.54,18.0,140.0,0.0,0.0,,26326.458,352257.953,0.0,352257.953,640468.886,61597.0,13641.51,10397.729,46950.0,3188.454,0.0,9.0,301.0,0.0,0.0,0.0,0.0,0.0,2756.0,176.4846,0.1704,2.0,,0.2,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,118736.0,6989.3073,57.0,378584.411,740554.0,12.34
n9L4C9WOFAo,MALAYSIA HEBOH LIHAT SPANYOL SEBUT INDONESIA JADI PEMAIN UTAMA INDUSTRI SENJATA PERANCIS‼,"Oct 14, 2025",564.0,114179.0,0:04:03,43.09,,,,,,,,0.0,0.0,182.0,24.0,1662.0,13.0,99.22,56.0,275.0,0.0,0.0,,11243.19,376321.253,0.0,376321.253,684219.976,87699.0,9520.642,7801.913,71867.0,3394.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0,81.7276,,,,0.1912,15.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,114179.0,7707.7115,158.0,387564.443,796814.0,12.08
fxRU4X1NckY,INDONESIA DI HINA MISKIN DAN PENGHASIL BABU‼ NETIZEN MALAYSIA TERDIAM HABIS DI KULITI NETZ INDONESIA,"Sep 26, 2025",720.0,112767.0,0:04:31,37.73,,,,,,,,0.0,0.0,344.0,33.0,1705.0,21.0,98.78,226.0,705.0,0.0,1.0,0.0,9124.42,389715.902,0.0,389715.902,708574.775,95353.0,8997.775,7431.07,78750.0,3620.646,0.0,147.0,2424.0,174981.254,1.0,9356.93,9448.97,0.0,1021.0,67.619,,,,0.2345,9.0,0.0,52.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,112767.0,8509.2437,311.0,408289.292,867267.0,10.45
Yf27ddLvA5o,"MERINDING‼ PARADE MILITER WANITA INDONESIA & CHINA TAMPIL MEMUKAU,  PARADE MALAYSIA KLAIM TERBAIK⁉","Jul 23, 2025",1050.0,109238.0,0:05:51,33.46,,,,,,,,0.0,0.0,216.0,17.0,662.0,31.0,95.53,68.0,61.0,0.0,0.0,,15629.243,293333.285,0.0,293333.285,533333.082,74354.0,8055.053,7172.89,66211.0,2828.34,0.0,114.0,2904.0,0.0,0.0,16761.527,0.0,0.0,1390.0,117.12,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,426.0,2.13,20026.0,109238.0,10661.7903,199.0,308962.527,761049.0,11.48
TOQmXlWp5pk,DRUM NUSANTARA GUNCANG PARIS‼️200 PENABUH TNI BIKIN BULE EROPA TERBENGONG PRABOWO HORMAT BANGGA‼️,"Jul 16, 2025",518.0,106961.0,0:03:47,44.01,,,,,,,,-1.0,-110.0,667.0,35.0,1390.0,22.0,98.44,187.0,54.0,0.0,3.0,0.0,7719.302,292877.218,0.0,292877.218,532503.907,80948.0,7460.023,6578.345,71381.0,2821.403,0.0,73.0,2352.0,28804.528,4.0,19010.449,1399.714,-215.939,1033.0,62.8342,,,,,0.0,,,0.0,,115.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,106961.0,6773.4021,632.0,301780.294,770719.0,11.47
pmOt_wh1tQk,SEKUTU JIRAN LEPAS TANGAN TAK AKAN BANTU MALAYSIA JIKA HADAPI INDONESIA,"Dec 13, 2025",572.0,106149.0,0:04:27,46.72,,,,,,,,0.0,0.0,92.0,23.0,1024.0,31.0,97.06,35.0,447.0,0.0,0.0,,5023.523,324625.589,0.0,324625.589,590228.617,90908.0,7100.836,6492.593,83121.0,3105.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,42.081,0.3695,4.0,1.3333,0.1922,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,106149.0,7880.3739,69.0,329649.112,671322.0,14.44
EYhfk27SWMo,TNI LEBIH DIHORMATI DARI PASUKAN PBB⁉️INILAH BUKTI SAAT ASEAN REBUTAN BANTUAN TNI‼️,"Aug 6, 2025",613.0,105418.0,0:03:47,37.14,,,,,,,,0.0,0.0,197.0,16.0,833.0,14.0,98.35,24.0,66.0,0.0,3.0,0.0,6397.147,260138.087,0.0,260138.087,472978.403,73411.0,7543.395,6442.882,62701.0,2638.907,0.0,67.0,1404.0,215796.956,1.0,32186.289,11653.023,0.0,894.0,56.9094,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,105418.0,6666.2798,181.0,278188.257,736451.0,12.16
3pawgPmemsE,"INI ALASAN NEGARA ARAB TAK MAU MALAYSIA MASUK KE GAZA, JUSTRU PILIH PASUKAN INDONESIA","Nov 6, 2025",632.0,105162.0,0:04:30,42.76,,,,,,,,0.0,0.0,168.0,20.0,1398.0,18.0,98.73,55.0,307.0,0.0,0.0,,11548.807,316499.504,0.0,316499.504,575452.898,84471.0,7747.807,6812.431,74273.0,3119.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.0,85.9207,0.0665,1.0,,0.2088,13.0,2.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,105162.0,7893.64,148.0,328048.311,669975.0,13.35
ZXNY9RaTD1k,"AFRIKA TERHARU‼ INDONESIA BANGUN SUMBER AIR BERSIH ATASI KRISIS PARAH, RAKYAT  AFRIKA BERTERIMAKASIH","Aug 26, 2025",515.0,104257.0,0:03:06,36.18,,,,,,,,0.0,0.0,300.0,27.0,1190.0,15.0,98.76,20.0,72.0,0.0,8.0,0.0,4669.15,212547.569,0.0,212547.569,386450.395,59622.0,7264.788,6481.674,53195.0,2636.454,0.0,61.0,1266.0,1067627.145,6.0,57813.06,63652.56,-6000.729,830.0,36.673,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,104257.0,5396.3861,273.0,274868.549,515948.0,16.6
zuR_v1frnTI,"KAPOK! POLITISI MALAYSIA SOK PALING DERMAWAN BANTU ACEH, DIBUNGKAM KERAS ABANG MELAYU RIAU","Dec 20, 2025",729.0,104227.0,0:05:16,43.46,,,,,,,,0.0,0.0,260.0,33.0,1712.0,38.0,97.83,176.0,1418.0,0.0,0.0,,8400.466,416256.645,0.0,416256.645,756829.937,93680.0,10238.777,8078.885,73918.0,4074.346,0.0,100.0,2185.0,0.0,0.0,0.0,0.0,0.0,761.0,65.7095,0.2617,3.0,1.0,0.2358,10.0,0.0,22.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1091.0,1.99,54828.0,104227.0,9173.2931,227.0,424657.112,535884.0,16.61
HAktQx6ycTw,"DUNIA TERCENGANG‼ PASUKAN ASKAR MALAYSIA BIKIN NGAKAK VS TENTARA RUSIA, CHINA, AMERIKA, & TNI","Jul 30, 2025",1080.0,102305.0,0:05:51,32.51,,,,,,,,0.0,0.0,162.0,9.0,646.0,47.0,93.22,22.0,315.0,0.0,0.0,,10252.644,299076.395,0.0,299076.395,543776.018,81384.0,8507.8,6681.608,63915.0,3023.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,86.2639,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,376.0,2.73,13765.0,102305.0,9978.2844,153.0,309329.039,722661.0,11.74
2TyE6hNYSF4,"PUTIN NGAMUK! SIAPA BERANI SENTUH INDONESIA, SIAP-SIAP HADAPI KEKUATAN RUSIA TANPA AMPUN!","May 24, 2025",501.0,101014.0,0:02:58,35.62,,,,,,,,0.0,0.0,208.0,15.0,746.0,18.0,97.64,69.0,103.0,0.0,0.0,,974.915,209090.518,0.0,209090.518,380164.536,66985.0,6332.171,5675.368,60037.0,2079.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,13.773,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,101014.0,5006.9321,193.0,210065.433,668232.0,13.46
RhSDndB86tM,PANTAS CIUT‼ INILAH HAL TERBURUK JIKA NEGARA INI IKUT CAMPUR KONFLIK TIMOR LESTE-INDONESIA,"Sep 2, 2025",587.0,100430.0,0:03:40,37.56,,,,,,,,0.0,0.0,352.0,14.0,902.0,63.0,93.47,43.0,568.0,0.0,0.0,,1888.935,217323.71,0.0,217323.71,395134.459,59785.0,7339.868,6609.257,53834.0,2182.743,0.0,90.0,1192.0,0.0,0.0,0.0,0.0,0.0,270.0,15.832,,,,0.2009,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,100430.0,6150.0194,338.0,219212.645,668191.0,13.56
 -rCZzU_YLq8,"MALAYSIA KETAKUTAN, TNI DITERJUNKAN 750 BATALYON DI PERBATASAN","Dec 3, 2025",611.0,96402.0,0:04:28,44.01,,,,,,,,0.0,0.0,131.0,27.0,1305.0,23.0,98.27,39.0,497.0,0.0,1.0,0.0,4032.635,381067.007,0.0,381067.007,692849.257,92522.0,8881.316,7488.481,78012.0,4004.146,0.0,75.0,1352.0,16812.976,1.0,0.0,907.901,0.0,465.0,33.3015,0.7416,5.0,1.25,0.2028,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,680.0,1.55,43906.0,96402.0,7199.9701,104.0,386007.542,588860.0,14.4
zHYEW63Uivw,ORGANISASI BENTUKAN MALAYSIA MIRIP BRICS ANCAM PERPISAHAN⁉️NEGARA ANGGOTA PILIH MENDEKATI INDONESIA,"Oct 3, 2025",659.0,92062.0,0:04:19,39.45,,,,,,,,0.0,0.0,108.0,18.0,959.0,24.0,97.56,37.0,695.0,0.0,0.0,,15235.298,286070.294,0.0,286070.294,520128.157,65876.0,9593.628,7895.564,54216.0,3272.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.0,110.4475,,,,0.2246,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,92062.0,6647.8037,90.0,301305.593,709339.0,10.85
Jt3HgSwSpto,"GAZA KIBARKAN BENDERA INDONESIA TANDA TERIMAKASIH KE PRABOWO, MALAYSIA MALAH KIBARKAN BENDERA ISRAEL","Oct 23, 2025",570.0,91958.0,0:03:19,35.05,,,,,,,,0.0,0.0,177.0,24.0,1280.0,13.0,98.99,62.0,229.0,0.0,0.0,,6493.415,232928.968,0.0,232928.968,423506.887,60571.0,8082.964,6991.908,52395.0,2603.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,50.2767,,,,0.1938,21.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,91958.0,5102.6518,153.0,239422.383,688348.0,11.23
Uq8Ya12SSD4,"PRABOWO DIARAK RATUSAN RIBU WARGA MESIR DIANGGAP BAWA PERDAMAIAN PALESTINA, MALAYSIA TAK DIANGGAP‼️","Oct 15, 2025",636.0,91353.0,0:03:55,37.09,,,,,,,,0.0,0.0,214.0,37.0,1513.0,18.0,98.82,57.0,239.0,0.0,0.0,,4233.213,308514.412,0.0,308514.412,560935.351,82380.0,7903.058,6809.121,70977.0,3423.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,34.9185,,,,0.2149,18.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,91353.0,5986.0007,177.0,312747.625,621000.0,13.11
